,,,,,,"AFFECTED CROP AREA (HA)",,,"NUMBER OF DAMAGED INFRASTRUCTURE, MACHINERIES, EQUIPMENT",,,,
PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,CLASSIFICATION,TYPE,"NO. OF FARMERS/ FISHERFOLK AFFECTED [number]","WITH NO CHANCE OF RECOVERY (TOTALLY DAMAGED) [number]","WITH CHANCE OF RECOVERY (PARTIALLY DAMAGED) [number]","TOTAL [number]","TOTALLY DAMAGED [number]","PARTIALLY DAMAGED [number]","TOTAL [number]","PRODUCTION LOSS IN VOLUME (MT) [number]","PRODUCTION LOSS / COST OF DAMAGE IN VALUE (PHP) [number]"
"ILOCOS SUR",none,none,Crops,Rice,230,0,1.55,1.55,0,0,0,3.1,46500
"ILOCOS SUR",none,none,Crops,Corn,78,0,8.95,8.95,0,0,0,28.44,536792.25
"ILOCOS SUR",none,none,Crops,"High Value Crops",306,1.01,59.2,60.21,0,0,0,283.9,25241012.5
PANGASINAN,none,none,Crops,Rice,197,1,182,183,0,0,0,342,5802934
PANGASINAN,none,none,Crops,Corn,77,8.55,46.5,55.05,0,0,0,19,1762733.5
PANGASINAN,none,none,Crops,"High Value Crops",151,80,38.25,118.25,0,0,0,1038,64883930
PANGASINAN,none,none,"Livestock and Poultry",Livestock,27,0,0,0,0,0,0,0,204200
"ILOCOS NORTE",none,none,Crops,Rice,408,0,281.41,281.41,0,0,0,216.29,3256949
"ILOCOS NORTE",none,none,Crops,Corn,113,4.5,37.07,41.57,0,0,0,53.67,1215027
"ILOCOS NORTE",none,none,Crops,"High Value Crops",307,0,57.9,57.9,0,0,0,63.65,1392204.67
"ILOCOS NORTE",none,none,"Livestock and Poultry",Livestock,8,0,0,0,0,0,0,0,95500
"ILOCOS NORTE",none,none,"Agricultural Infrastructures","Farm Structures",0,0,0,0,0,0,0,0,77000
"LA UNION",none,none,Crops,"High Value Crops",199,55,6,61,0,0,0,593,50607750
