,,,"NO. OF DAMAGED HOUSES",,,,
PROVINCE,"CITY/ MUNICIPALITY",BARANGAY,"TOTALLY [number]","PARTIALLY [number]","GRAND TOTAL [number]","AMOUNT [number]",REMARKS
"ILOCOS NORTE",Batac,none,1,22,23,0,
"ILOCOS NORTE",Burgos,none,0,16,16,0,
"ILOCOS NORTE",Carasi,none,0,8,8,0,
"ILOCOS NORTE",Dingras,none,0,9,9,0,
"ILOCOS NORTE",Laoag,none,3,9,12,0,
"ILOCOS NORTE","Nueva Era",none,0,3,3,0,
"ILOCOS NORTE",Pagudpud,none,0,27,27,0,
"ILOCOS NORTE",Paoay,none,1,54,55,0,
"ILOCOS NORTE",Pasuquin,none,0,25,25,0,
"ILOCOS NORTE",Sarrat,none,0,3,3,0,
"ILOCOS NORTE",Solsona,none,1,17,18,0,
"ILOCOS NORTE",Vintar,none,0,19,19,0,
"ILOCOS SUR",Alilem,none,0,11,11,0,
"ILOCOS SUR",Burgos,none,0,11,11,0,
"ILOCOS SUR",Cabugao,none,6,104,110,0,
"ILOCOS SUR",Candon,none,0,354,354,0,
"ILOCOS SUR",Caoayan,none,1,21,22,0,
"ILOCOS SUR",Cervantes,none,2,12,14,0,
"ILOCOS SUR",Galimuyod,none,2,174,176,0,
"ILOCOS SUR","Gregorio del Pilar (Concepcion)",none,0,11,11,0,
"ILOCOS SUR",Lidlidda,none,0,7,7,0,
"ILOCOS SUR",Magsingal,none,3,37,40,0,
"ILOCOS SUR",Narvacan,none,9,849,858,0,
"ILOCOS SUR",Salcedo (Baugen),none,5,115,120,0,
"ILOCOS SUR","San Emilio",none,0,56,56,0,
"ILOCOS SUR","San Ildefonso",none,0,4,4,0,
"ILOCOS SUR","San Juan (Lapog)",none,0,9,9,0,
"ILOCOS SUR","San Vicente",none,2,13,15,0,
"ILOCOS SUR","Santa Catalina",none,2,67,69,,
"ILOCOS SUR","Santa Cruz",none,18,566,584,0,
"ILOCOS SUR","Santa Lucia",none,3,294,297,0,
"ILOCOS SUR","Santa Maria",none,11,468,479,0,
"ILOCOS SUR",Santiago,none,14,433,447,0,
"ILOCOS SUR","Santo Domingo",none,3,51,54,0,
"ILOCOS SUR",Sigay,none,0,2,2,0,
"ILOCOS SUR",Sugpon,none,1,41,42,0,
"ILOCOS SUR",Suyo,none,1,47,48,0,
"ILOCOS SUR",Tagudin,none,18,782,800,0,
"ILOCOS SUR",Vigan,none,0,21,21,0,
"LA UNION",Agoo,none,69,2393,2462,0,
"LA UNION",Bagulin,none,3,17,20,0,
"LA UNION",Balaoan,none,21,1720,1741,,
"LA UNION",Bangar,none,14,622,636,0,
"LA UNION",Bauang,none,12,152,164,0,
"LA UNION",Burgos,none,4,4,8,0,
"LA UNION",Caba,none,71,609,680,0,
"LA UNION",Luna,none,19,1036,1055,0,
"LA UNION",Naguilian,none,39,495,534,0,
"LA UNION","San Gabriel",none,7,202,209,0,
"LA UNION","San Juan",none,38,976,1014,0,
"LA UNION","Santo Tomas",none,1,65,66,0,
"LA UNION",Santol,none,3,134,137,0,
"LA UNION",Sudipen,none,10,329,339,0,
PANGASINAN,Aguilar,none,13,386,399,0,
PANGASINAN,Alaminos,none,30,513,543,,
PANGASINAN,Alcala,none,95,447,542,0,
PANGASINAN,Anda,none,263,4137,4400,0,
PANGASINAN,Asingan,none,32,41,73,0,
PANGASINAN,Balungao,none,5,118,123,0,
PANGASINAN,Bani,none,33,1120,1153,0,
PANGASINAN,Basista,none,97,2249,2346,0,
PANGASINAN,Bautista,none,10,426,436,0,
PANGASINAN,Bayambang,none,4,47,51,0,
PANGASINAN,Binalonan,none,28,873,901,0,
PANGASINAN,Binmaley,none,417,1890,2307,0,
PANGASINAN,Bolinao,none,,539,539,,
PANGASINAN,Bugallon,none,82,959,1041,0,
PANGASINAN,Burgos,none,16,200,216,0,
PANGASINAN,Calasiao,none,131,1339,1470,0,
PANGASINAN,Dasol,none,9,45,54,0,
PANGASINAN,Infanta,none,34,854,888,0,
PANGASINAN,Labrador,none,47,383,430,,
PANGASINAN,Laoac,none,82,473,555,0,
PANGASINAN,Lingayen,none,94,1628,1722,0,
PANGASINAN,Mabini,none,3,86,89,,
PANGASINAN,Malasiqui,none,184,2510,2694,0,
PANGASINAN,Mangaldan,none,117,688,805,0,
PANGASINAN,Mangatarem,none,33,1198,1231,0,
PANGASINAN,Pozorrubio,none,36,204,240,0,
PANGASINAN,"San Carlos",none,261,5645,5906,0,
PANGASINAN,"San Fabian",none,846,2046,2892,0,
PANGASINAN,"San Jacinto",none,86,812,898,0,
PANGASINAN,"San Manuel",none,12,181,193,0,
PANGASINAN,"San Quintin",none,4,12,16,0,
PANGASINAN,"Santa Barbara",none,187,1393,1580,0,
PANGASINAN,"Santa Maria",none,12,1,13,0,
PANGASINAN,"Santo Tomas",none,10,25,35,0,
PANGASINAN,Sison,none,11,476,487,0,
PANGASINAN,Sual,none,35,149,184,0,
PANGASINAN,Umingan,none,0,14,14,0,
PANGASINAN,Urbiztondo,none,190,3382,3572,0,
PANGASINAN,Urdaneta,none,74,292,366,0,
PANGASINAN,Villasis,none,33,584,617,0,
DAGUPAN,Dagupan,none,43,2738,2781,,
